URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/la-bio-shashank-bengali-staff.html,97235,182,text/html
http://www.latimes.com/la-bio-charles-mcnulty-staff.html,100809,181,text/html
http://www.latimes.com/la-bio-gary-klein-staff.html,97764,181,text/html
http://www.latimes.com/la-bio-andy-mccullough-staff.html,97880,180,text/html
http://www.latimes.com/la-bio-rosanna-xia-staff.html,99552,181,text/html
http://www.latimes.com/la-bio-anh-do-staff.html,98606,184,text/html
http://www.latimes.com/local/lanow/la-me-citizens-ice-20180427-htmlstory.html,158283,191,text/html
http://www.latimes.com/la-bio-tracy-brown-staff.html,99749,181,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-ellen-degeneres-marjorie-lord-beverly-hills-20180926-story.html,122823,148,text/html
http://www.latimes.com/la-bio-makeda-easter-staff.html,99741,182,text/html
http://www.latimes.com/travel/mexico/,237290,207,text/html
http://www.latimes.com/business/hollywood/la-fi-ct-pay-equity-summit-20180929-story.html,200331,152,text/html
http://www.latimes.com/la-bio-victoria-kim-staff.html,97975,181,text/html
http://www.latimes.com/la-bio-angel-jennings-staff.html,98304,181,text/html
http://www.latimes.com/la-bio-anna-m-phillips-staff.html,98978,182,text/html
http://www.latimes.com/pb/resources/images/lat_icons/144-iTunesArtwork.png?v=87,3946,0,image/png
http://www.latimes.com/la-bio-nathan-fenno-staff.html,98167,182,text/html
http://www.latimes.com/business/realestate/,196249,207,text/html
http://www.latimes.com/la-bio-james-reed-staff.html,98457,181,text/html
http://www.latimes.com/la-bio-justin-chang-staff.html,100511,181,text/html
http://www.latimes.com/la-bio-thomas-suh-lauder-staff.html,95365,182,text/html
http://www.latimes.com/la-bio-michael-mcgough-staff.html,99211,181,text/html
